word | morph | numbers 
абажур | абажур!
адъютантский | адъютант!ск!ий
адъютантство | адъютант!ств!о
адыге | адыге, нескл. м. и ж.
адыгейка | адыгей!к!а
адыгейский | адыгей!ск!ий
адыгец | адыгеец!
адыгский | адыг!ск!ий
аж | аж, частица
ажгон | ажгон!
ажио | ажио, нескл., с.
ажиотаж | ажиот!аж!
ажиотировать | ажиот!ир!ова!ть
ажур1 | ажур!1 (вязанье)
ажур2 | ажур2, нареч. (бухг.)
ажурный | ажур!н!ый
ажюстировать | ажюст!ир!ова!ть
аз | аз!, -а, мн. аз!ы, -!ов
азалия | азали!я 
азарин | азарин!
азарт | азарт!
азартничать | азарт!н!ича!ть
азартный | азарт!н!ый
азат | азат!
азбука | азбук!а
азбуковник | азбук!ов!ник!
азбучный | азбуч!н!ый
азербайджанец | азербайджан!ец!
азербайджанка | азербайджан!к!а
азербайджанский | азербайджан!ск!ий
азефовщина | азеф!ов!щин!а
азиат | ази!ат!
азиатический | ази!ат!ическ!ий
азиатка | ази!ат!к!а
азиатский | ази!ат!ск!ий
